granule,start,end,cloud_cover,size_mb,download_nc
EMIT_L2B_MIN_001_20240610T024420_2416202_007,2024-06-10T02:44:20.000Z,2024-06-10T02:44:32.000Z,0,107.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240610T024420_2416202_007/EMIT_L2B_MIN_001_20240610T024420_2416202_007.nc
EMIT_L2B_MIN_001_20240610T024432_2416202_008,2024-06-10T02:44:32.000Z,2024-06-10T02:44:44.000Z,0,105.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20240610T024432_2416202_008/EMIT_L2B_MIN_001_20240610T024432_2416202_008.nc
EMIT_L2B_MIN_001_20241003T051521_2427704_002,2024-10-03T05:15:21.000Z,2024-10-03T05:15:41.000Z,0,152.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20241003T051521_2427704_002/EMIT_L2B_MIN_001_20241003T051521_2427704_002.nc
EMIT_L2B_MIN_001_20241203T044945_2433804_008,2024-12-03T04:49:45.000Z,2024-12-03T04:50:06.000Z,0,156.0,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20241203T044945_2433804_008/EMIT_L2B_MIN_001_20241203T044945_2433804_008.nc
EMIT_L2B_MIN_001_20250214T090853_2504506_003,2025-02-14T09:08:53.000Z,2025-02-14T09:09:05.000Z,0,88.0,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20250214T090853_2504506_003/EMIT_L2B_MIN_001_20250214T090853_2504506_003.nc
EMIT_L2B_MIN_001_20250403T045519_2509303_005,2025-04-03T04:55:19.000Z,2025-04-03T04:55:31.000Z,0,93.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20250403T045519_2509303_005/EMIT_L2B_MIN_001_20250403T045519_2509303_005.nc
EMIT_L2B_MIN_001_20250418T073547_2510805_025,2025-04-18T07:35:47.000Z,2025-04-18T07:35:59.000Z,0,82.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20250418T073547_2510805_025/EMIT_L2B_MIN_001_20250418T073547_2510805_025.nc
EMIT_L2B_MIN_001_20250418T073611_2510805_027,2025-04-18T07:36:11.000Z,2025-04-18T07:36:24.000Z,0,101.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20250418T073611_2510805_027/EMIT_L2B_MIN_001_20250418T073611_2510805_027.nc
EMIT_L2B_MIN_001_20250523T091119_2514306_001,2025-05-23T09:11:19.000Z,2025-05-23T09:11:31.000Z,0,107.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20250523T091119_2514306_001/EMIT_L2B_MIN_001_20250523T091119_2514306_001.nc
EMIT_L2B_MIN_001_20260211T093652_2604207_022,2026-02-11T09:36:52.000Z,2026-02-11T09:37:03.000Z,0,125.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260211T093652_2604207_022/EMIT_L2B_MIN_001_20260211T093652_2604207_022.nc
EMIT_L2B_MIN_001_20260420T065836_2611004_032,2026-04-20T06:58:36.000Z,2026-04-20T06:58:47.000Z,0,126.5,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260420T065836_2611004_032/EMIT_L2B_MIN_001_20260420T065836_2611004_032.nc
EMIT_L2B_MIN_001_20260424T052605_2611403_017,2026-04-24T05:26:05.000Z,2026-04-24T05:26:17.000Z,0,121.7,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20260424T052605_2611403_017/EMIT_L2B_MIN_001_20260424T052605_2611403_017.nc
